cause_category,source_group,repo_name,metric,rows,total_abs_diff,mean_diff,median_abs_diff,max_abs_diff,positive_diff_rows,negative_diff_rows,paper_mean,our_mean
paper_commit_missing,treatment,raphaelmansuy/code2prompt,bugs,5,8.0,-1.6,0.0,4.0,0,2,2.0,0.4
rule_config_analyzer_profile_signal,control,jfcrenshaw/pzflow,bugs,4,8.0,2.0,2.0,2.0,4,0,0.0,2.0
rule_config_analyzer_profile_signal,treatment,wdm0006/pygeohash,bugs,4,7.0,-1.75,0.0,7.0,0,1,1.75,0.0
source_scope_difference_or_mixed,treatment,lss233/kirara-ai,bugs,1,7.0,7.0,7.0,7.0,1,0,14.0,21.0
source_scope_difference_or_mixed,control,microsoft/semantic-link-labs,bugs,15,7.0,0.2,0.0,4.0,2,1,9.0,9.2
source_scope_difference_or_mixed,treatment,sbomify/sbomify,bugs,7,7.0,-1.0,1.0,3.0,0,5,10.142857142857142,9.142857142857142
commit_selection_difference,treatment,DataScienceUIBK/Rankify,bugs,7,7.0,1.0,1.0,1.0,7,0,15.428571428571429,16.428571428571427
rule_config_analyzer_profile_signal,control,weaviate/t2v-transformers-models,bugs,13,7.0,0.5384615384615384,1.0,1.0,7,0,0.0,0.5384615384615384
rule_config_analyzer_profile_signal,control,golemfoundation/octant,bugs,1,6.0,-6.0,6.0,6.0,0,1,32.0,26.0
rule_config_analyzer_profile_signal,treatment,whiteducksoftware/flock,bugs,2,6.0,3.0,3.0,4.0,2,0,3.0,6.0
paper_commit_missing,control,vonssy/DreamerQuests-BOT,bugs,2,6.0,3.0,3.0,3.0,2,0,0.0,3.0
paper_commit_missing,treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,bugs,2,6.0,3.0,3.0,3.0,2,0,2.0,5.0
rule_config_analyzer_profile_signal,treatment,keephq/keep,bugs,3,6.0,-2.0,2.0,3.0,0,3,19.333333333333332,17.333333333333332
source_scope_difference_or_mixed,treatment,daojiAnime/vmq-fastapi,bugs,3,6.0,-2.0,2.0,2.0,0,3,3.0,1.0
paper_commit_missing,control,stakewise/v3-operator,bugs,1,5.0,5.0,5.0,5.0,1,0,0.0,5.0
paper_commit_missing,treatment,VRSEN/agency-voice-interface,bugs,1,5.0,5.0,5.0,5.0,1,0,0.0,5.0
source_scope_difference_or_mixed,control,NVIDIA/cuEquivariance,bugs,1,5.0,-5.0,5.0,5.0,0,1,21.0,16.0
source_scope_difference_or_mixed,treatment,VRSEN/agency-swarm,bugs,4,5.0,-1.25,0.5,4.0,0,2,6.25,5.0
rule_config_analyzer_profile_signal,control,aws/nova-act,bugs,5,5.0,-1.0,0.0,3.0,0,2,1.2,0.2
rule_config_analyzer_profile_signal,control,pieces-app/cli-agent,bugs,19,5.0,0.2631578947368421,0.0,3.0,3,0,0.5263157894736842,0.7894736842105263
rule_config_analyzer_profile_signal,treatment,MDGrey33/pyvisionai,bugs,6,5.0,-0.8333333333333334,0.0,3.0,0,2,4.166666666666667,3.3333333333333335
source_scope_difference_or_mixed,treatment,Multi-V-VM/MVVM,bugs,8,5.0,0.125,0.5,2.0,3,1,5.25,5.375
rule_config_analyzer_profile_signal,control,odoo/industry,bugs,5,5.0,-1.0,1.0,1.0,0,5,172.6,171.6
rule_config_analyzer_profile_signal,treatment,The-Pocket/PocketFlow,bugs,8,5.0,0.625,1.0,1.0,5,0,5.0,5.625
rule_config_analyzer_profile_signal,treatment,martinnormark/neural-mesh-simplification,bugs,5,5.0,-1.0,1.0,1.0,0,5,1.0,0.0
paper_commit_missing,treatment,Chocksy/qc-options-framework,bugs,2,4.0,-2.0,2.0,4.0,0,1,4.0,2.0
paper_commit_missing,treatment,utensils/mcp-nixos,bugs,1,4.0,-4.0,4.0,4.0,0,1,8.0,4.0
rule_config_analyzer_profile_signal,control,vortezwohl/Bhakti,bugs,4,4.0,1.0,0.0,4.0,1,0,0.0,1.0
source_scope_difference_or_mixed,treatment,instructor-ai/instructor,bugs,1,4.0,-4.0,4.0,4.0,0,1,19.0,15.0
rule_config_analyzer_profile_signal,control,OSU-NLP-Group/HippoRAG,bugs,10,4.0,0.4,0.0,2.0,3,0,1.2,1.6
rule_config_analyzer_profile_signal,treatment,Scrapybara/codecapy,bugs,2,4.0,2.0,2.0,2.0,2,0,0.0,2.0
rule_config_analyzer_profile_signal,treatment,SlyyCooper/cursorrules-architect,bugs,6,4.0,0.6666666666666666,0.0,2.0,2,0,1.6666666666666667,2.3333333333333335
rule_config_analyzer_profile_signal,treatment,smartian1/tgtrader,bugs,5,4.0,0.8,1.0,1.0,4,0,40.0,40.8
commit_selection_difference,control,HelpingAI/Webscout,bugs,1,3.0,3.0,3.0,3.0,1,0,27.0,30.0
commit_selection_difference,treatment,sbomify/sbomify,bugs,1,3.0,-3.0,3.0,3.0,0,1,11.0,8.0
rule_config_analyzer_profile_signal,control,caffeinedoom/reconthing,bugs,1,3.0,3.0,3.0,3.0,1,0,0.0,3.0
rule_config_analyzer_profile_signal,treatment,synaptiai/prompt-decorators,bugs,7,3.0,-0.42857142857142855,0.0,3.0,0,1,2.4285714285714284,2.0
commit_selection_difference,treatment,allthingslinux/tux,bugs,3,3.0,1.0,1.0,2.0,2,0,0.6666666666666666,1.6666666666666667
paper_commit_missing,control,weaviate/t2v-transformers-models,bugs,7,3.0,0.42857142857142855,0.0,1.0,3,0,0.0,0.42857142857142855
paper_commit_missing,treatment,martinnormark/neural-mesh-simplification,bugs,3,3.0,-1.0,1.0,1.0,0,3,1.0,0.0
paper_commit_missing,treatment,nextml-code/pytorch-datastream,bugs,3,3.0,-1.0,1.0,1.0,0,3,1.0,0.0
rule_config_analyzer_profile_signal,treatment,ezyang/codemcp,bugs,4,3.0,0.75,1.0,1.0,3,0,0.0,0.75
rule_config_analyzer_profile_signal,treatment,nextml-code/pytorch-datastream,bugs,3,3.0,-1.0,1.0,1.0,0,3,1.0,0.0
commit_selection_difference,treatment,cgevans/qslib,bugs,1,2.0,-2.0,2.0,2.0,0,1,18.0,16.0
commit_selection_difference,treatment,utensils/mcp-nixos,bugs,1,2.0,-2.0,2.0,2.0,0,1,4.0,2.0
paper_commit_missing,control,Benzauber/convert-commander,bugs,2,2.0,1.0,1.0,2.0,1,0,72.0,73.0
paper_commit_missing,treatment,Anemll/Anemll,bugs,1,2.0,-2.0,2.0,2.0,0,1,6.0,4.0
paper_commit_missing,treatment,ericmjl/llamabot,bugs,1,2.0,-2.0,2.0,2.0,0,1,6.0,4.0
rule_config_analyzer_profile_signal,control,PromtEngineer/localGPT,bugs,1,2.0,-2.0,2.0,2.0,0,1,4.0,2.0
rule_config_analyzer_profile_signal,treatment,ericzakariasson/uber-eats-mcp-server,bugs,1,2.0,2.0,2.0,2.0,1,0,0.0,2.0
rule_config_analyzer_profile_signal,treatment,yagami1997/CursorMind,bugs,1,2.0,2.0,2.0,2.0,1,0,0.0,2.0
paper_commit_missing,control,dromara/domain-admin,bugs,2,2.0,-1.0,1.0,1.0,0,2,27.0,26.0
paper_commit_missing,treatment,Multi-V-VM/MVVM,bugs,10,2.0,0.2,0.0,1.0,2,0,8.0,8.2
paper_commit_missing,treatment,xzq-xu/jvm-mcp-server,bugs,3,2.0,-0.6666666666666666,1.0,1.0,0,2,2.0,1.3333333333333333
rule_config_analyzer_profile_signal,treatment,allthingslinux/tux,bugs,12,2.0,0.16666666666666666,0.0,1.0,2,0,0.08333333333333333,0.25
rule_config_analyzer_profile_signal,treatment,gerred/mcp-server-replicate,bugs,2,2.0,1.0,1.0,1.0,2,0,0.0,1.0
rule_config_analyzer_profile_signal,treatment,matebenyovszky/healing-agent,bugs,3,2.0,-0.6666666666666666,1.0,1.0,0,2,0.6666666666666666,0.0
commit_selection_difference,control,Simatwa/free-proxies,bugs,1,1.0,1.0,1.0,1.0,1,0,0.0,1.0
paper_commit_missing,treatment,ericyuegu/hal,bugs,1,1.0,1.0,1.0,1.0,1,0,12.0,13.0
paper_commit_missing,treatment,hyperb1iss/droidmind,bugs,1,1.0,1.0,1.0,1.0,1,0,3.0,4.0
paper_commit_missing,treatment,matebenyovszky/healing-agent,bugs,1,1.0,-1.0,1.0,1.0,0,1,1.0,0.0
rule_config_analyzer_profile_signal,control,popey/sbommage,bugs,2,1.0,0.5,0.5,1.0,1,0,0.0,0.5
rule_config_analyzer_profile_signal,treatment,PiotrCzapla/smart_dictation,bugs,1,1.0,-1.0,1.0,1.0,0,1,2.0,1.0
rule_config_analyzer_profile_signal,treatment,hyperb1iss/droidmind,bugs,1,1.0,1.0,1.0,1.0,1,0,3.0,4.0
rule_config_analyzer_profile_signal,treatment,sshtunnelvision/MCP-LOGO-GEN,bugs,1,1.0,1.0,1.0,1.0,1,0,0.0,1.0
rule_config_analyzer_profile_signal,treatment,xzq-xu/jvm-mcp-server,bugs,3,1.0,-0.3333333333333333,0.0,1.0,0,1,1.0,0.6666666666666666
source_scope_difference_or_mixed,treatment,allthingslinux/tux,bugs,4,1.0,0.25,0.0,1.0,1,0,0.5,0.75
source_scope_difference_or_mixed,treatment,hyperb1iss/droidmind,bugs,1,1.0,1.0,1.0,1.0,1,0,3.0,4.0
commit_selection_difference,control,C4NU/Paddie,bugs,1,0.0,0.0,0.0,0.0,0,0,1.0,1.0
commit_selection_difference,control,ITSpecialist111/ai_automation_suggester,bugs,1,0.0,0.0,0.0,0.0,0,0,3.0,3.0
commit_selection_difference,control,microsoft/semantic-link-labs,bugs,1,0.0,0.0,0.0,0.0,0,0,20.0,20.0
commit_selection_difference,control,peter279k/cdc-data-mirror,bugs,20,0.0,0.0,0.0,0.0,0,0,2.0,2.0
commit_selection_difference,control,qiboteam/qibojit,bugs,3,0.0,0.0,0.0,0.0,0,0,1.0,1.0
commit_selection_difference,control,thefatedefeater/V2ray-Config,bugs,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0
commit_selection_difference,control,tusgino/llm-code-reviewer,bugs,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
commit_selection_difference,treatment,Multi-V-VM/MVVM,bugs,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
commit_selection_difference,treatment,The-Pocket/PocketFlow,bugs,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
commit_selection_difference,treatment,ToolUse/infinite-ai-seo,bugs,1,0.0,0.0,0.0,0.0,0,0,2.0,2.0
commit_selection_difference,treatment,VRSEN/agency-swarm,bugs,1,0.0,0.0,0.0,0.0,0,0,1.0,1.0
