rule,type,severity,effort,example_message,category
go:S1862,BUG,MAJOR,10min,This condition duplicates the one on line 7025.,Logic Error
go:S1871,CODE_SMELL,MAJOR,10min,This branch's code block is the same as the block for the branch on line 66.,Logic Error
go:S1940,CODE_SMELL,MINOR,2min,"Use the opposite operator (""!="") instead.",Code Style
go:S3776,CODE_SMELL,CRITICAL,6min,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,Code Complexity
go:S3923,BUG,MAJOR,15min,Remove this conditional structure or edit its code blocks so that they're not all the same.,Logic Error
go:S4144,CODE_SMELL,MAJOR,15min,"Update this function so that its implementation is not identical to ""orZero"" on line 78.",Code Complexity
ipython:S108,CODE_SMELL,MAJOR,5min,Either remove or fill this block of code.,Error Handling
ipython:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
ipython:S117,CODE_SMELL,MINOR,2min,"Rename this parameter ""Component"" to match the regular expression ^[_a-z][a-z0-9_]*$.",Naming Conventions
ipython:S1172,CODE_SMELL,MAJOR,5min,"Remove the unused function parameter ""button_text"".",Code Hygiene
ipython:S1192,CODE_SMELL,CRITICAL,8min,Define a constant instead of duplicating this literal 'uk-input ' 4 times.,Code Complexity
ipython:S125,CODE_SMELL,MAJOR,5min,Remove this commented out code.,Code Hygiene
ipython:S1542,CODE_SMELL,MAJOR,10min,"Rename function ""StatCard"" to match the regular expression ^[a-z_][a-z0-9_]*$.",Naming Conventions
ipython:S1700,CODE_SMELL,MAJOR,10min,"Rename field ""driver""",Naming Conventions
ipython:S1763,BUG,MAJOR,5min,Delete this unreachable code or refactor the code to make it reachable.,Logic Error
ipython:S2208,CODE_SMELL,CRITICAL,5min,Import only needed names or import the module and then use its members.,Other
ipython:S3358,CODE_SMELL,MAJOR,5min,Extract this nested conditional expression into an independent statement.,Code Complexity
ipython:S3457,CODE_SMELL,MAJOR,1min,Add replacement fields or use a normal string instead of an f-string.,Other
ipython:S3626,CODE_SMELL,MINOR,1min,Remove this redundant return.,Code Hygiene
ipython:S3776,CODE_SMELL,CRITICAL,14min,Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.,Code Complexity
ipython:S5720,CODE_SMELL,CRITICAL,5min,"Rename ""name"" to ""self"" or add the missing ""self"" parameter.",Other
ipython:S5727,CODE_SMELL,CRITICAL,10min,Remove this identity check; it will always be True.,Other
ipython:S5806,CODE_SMELL,MAJOR,5min,Rename this variable; it shadows a builtin.,Other
ipython:S5869,CODE_SMELL,MAJOR,5min,Remove duplicates in this character class.,Regex Issues
ipython:S5886,CODE_SMELL,MAJOR,5min,"Return a value of type ""str"" instead of ""tuple"" or update function ""get_report"" type hint.",Other
ipython:S6353,CODE_SMELL,MINOR,5min,Use concise character class syntax '\W' instead of '[^a-zA-Z0-9_]'.,Regex Issues
ipython:S6709,CODE_SMELL,MAJOR,5min,Provide a seed for the random_state parameter.,Data Science
ipython:S6734,CODE_SMELL,CRITICAL,5min,"Do not use ""inplace=True"" when modifying a dataframe.",Data Science
ipython:S6969,CODE_SMELL,MINOR,5min,Specify a memory argument for the pipeline.,Data Science
ipython:S930,BUG,BLOCKER,10min,Add 1 missing arguments; 'on_feedback' expects 2 positional arguments.,Other
java:S100,CODE_SMELL,MINOR,5min,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,Naming Conventions
java:S101,CODE_SMELL,MINOR,5min,Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.,Naming Conventions
java:S106,CODE_SMELL,MAJOR,10min,Replace this use of System.out by a logger.,Other
java:S1066,CODE_SMELL,MAJOR,5min,Merge this if statement with the enclosing one.,Other
java:S1068,CODE_SMELL,MAJOR,5min,"Remove this unused ""log"" private field.",Code Hygiene
java:S107,CODE_SMELL,MAJOR,20min,"Method has 9 parameters, which is greater than 7 authorized.",Code Complexity
java:S1075,CODE_SMELL,MINOR,20min,Refactor your code to get this URI from a customizable parameter.,Other
java:S108,CODE_SMELL,MAJOR,5min,Either remove or fill this block of code.,Error Handling
java:S1104,CODE_SMELL,MINOR,10min,Make loadingError a static final constant or non-public and provide accessors if needed.,Other
java:S1116,CODE_SMELL,MINOR,2min,Remove this empty statement.,Code Style
java:S1117,CODE_SMELL,MAJOR,5min,"Rename ""reactContext"" which hides the field declared at line 45.",Other
java:S1118,CODE_SMELL,MAJOR,5min,Add a private constructor to hide the implicit public one.,Other
java:S112,CODE_SMELL,MAJOR,20min,Define and throw a dedicated exception instead of using a generic one.,Error Handling
java:S1121,CODE_SMELL,MAJOR,5min,Extract the assignment out of this expression.,Other
java:S1123,CODE_SMELL,MAJOR,5min,Add the missing @Deprecated annotation.,Other
java:S1124,CODE_SMELL,MINOR,2min,Reorder the modifiers to comply with the Java Language Specification.,Other
java:S1125,CODE_SMELL,MINOR,5min,Remove the unnecessary boolean literal.,Code Style
java:S1126,CODE_SMELL,MINOR,2min,Replace this if-then-else statement by a single return statement.,Code Style
java:S1128,CODE_SMELL,MINOR,1min,Remove this duplicated import.,Code Hygiene
java:S1130,CODE_SMELL,MINOR,5min,"Remove the declaration of thrown exception 'java.io.IOException', as it cannot be thrown from method's body.",Error Handling
java:S1133,CODE_SMELL,INFO,10min,Do not forget to remove this deprecated code someday.,API Usage
java:S1134,CODE_SMELL,MAJOR,0min,Take the required action to fix the issue indicated by this comment.,Code Hygiene
java:S1135,CODE_SMELL,INFO,0min,Complete the task associated to this TODO comment.,Code Hygiene
java:S1141,CODE_SMELL,MAJOR,20min,Extract this nested try block into a separate method.,Error Handling
java:S1144,CODE_SMELL,MAJOR,2min,"Remove this unused private ""getUrlParameters"" method.",Code Hygiene
java:S1149,CODE_SMELL,MAJOR,20min,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",Concurrency
java:S115,CODE_SMELL,CRITICAL,2min,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,Naming Conventions
java:S1153,CODE_SMELL,MINOR,5min,Directly append the argument of String.valueOf().,Other
java:S1155,CODE_SMELL,MINOR,2min,Use isEmpty() to check whether the collection is empty or not.,Other
java:S1158,CODE_SMELL,MINOR,5min,Call the static method Long.toString(...) instead of instantiating a temporary object.,Other
java:S116,CODE_SMELL,MINOR,2min,"Rename this field ""C0"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",Naming Conventions
java:S1161,CODE_SMELL,MAJOR,5min,"Add the ""@Override"" annotation above this method signature",Other
java:S1165,CODE_SMELL,MINOR,15min,"Make this ""contentletsIDS"" field final.",Other
java:S1168,CODE_SMELL,MAJOR,30min,Return an empty collection instead of null.,Other
java:S117,CODE_SMELL,MINOR,2min,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,Naming Conventions
java:S1170,CODE_SMELL,MINOR,2min,Make this final field static too.,Other
java:S1171,CODE_SMELL,MAJOR,30min,Move the contents of this initializer to a standard constructor or to field initializers.,Other
java:S1172,CODE_SMELL,MAJOR,5min,"Remove these unused method parameters ""secret"", ""value"".",Code Hygiene
java:S1186,CODE_SMELL,CRITICAL,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",Empty/Incomplete Code
java:S119,CODE_SMELL,MINOR,10min,Rename this generic name to match the regular expression '^[A-Z][0-9]?$'.,Naming Conventions
java:S1191,CODE_SMELL,MAJOR,1h20min,Use classes from the Java API instead of Sun classes.,API Usage
java:S1192,CODE_SMELL,CRITICAL,12min,"Define a constant instead of duplicating this literal ""example.prime.number"" 5 times.",Code Complexity
java:S1197,CODE_SMELL,MINOR,5min,Move the array designators [] to the type.,Other
java:S120,CODE_SMELL,MINOR,10min,Rename this package name to match the regular expression '^[a-z_]+(\.[a-z_][a-z0-9_]*)*$'.,Naming Conventions
java:S1206,BUG,MINOR,15min,"This class overrides ""equals()"" and should therefore also override ""hashCode()"".",Other
java:S1214,CODE_SMELL,CRITICAL,10min,Move constants defined in this interfaces to another class or enum.,Other
java:S1220,CODE_SMELL,MINOR,10min,Move this file to a named package.,Other
java:S1223,CODE_SMELL,MAJOR,5min,Rename this method to prevent any misunderstanding or make it a constructor.,Other
java:S125,CODE_SMELL,MAJOR,5min,This block of commented-out lines of code should be removed.,Code Hygiene
java:S1264,CODE_SMELL,MINOR,5min,"Replace this ""for"" loop with a ""while"" loop.",Code Style
java:S1301,CODE_SMELL,MINOR,5min,"Replace this ""switch"" statement by ""if"" statements to increase readability.",Code Style
java:S131,CODE_SMELL,CRITICAL,5min,Add a default case to this switch.,Other
java:S1319,CODE_SMELL,MINOR,10min,"The return type of this method should be an interface such as ""Map"" rather than the implementation ""HashMap"".",Other
java:S135,CODE_SMELL,MINOR,1h,Reduce the total number of break and continue statements in this loop to use at most one.,Other
java:S1444,CODE_SMELL,MINOR,20min,"Make this ""public static loadingStart"" field final",Other
java:S1450,CODE_SMELL,MINOR,5min,"Remove the ""channel"" field and declare it as a local variable in the relevant methods.",Other
java:S1452,CODE_SMELL,CRITICAL,20min,Remove usage of generic wildcard type.,Type Safety
java:S1481,CODE_SMELL,MINOR,5min,"Remove this unused ""e"" local variable.",Code Hygiene
java:S1488,CODE_SMELL,MINOR,2min,"Immediately return this expression instead of assigning it to the temporary variable ""isVerified"".",Code Style
java:S1596,CODE_SMELL,MINOR,2min,"Replace ""Collections.EMPTY_LIST"" by ""Collections.emptyList()"".",Other
java:S1598,CODE_SMELL,CRITICAL,5min,"File path ""/data2/haohe/CursorRepos/block_ftl/jvm-runtime/testdata/java/javaserver/src/main/java/xyz/block/ftl/javacomments"" should match package name ""xyz.block.ftl.test"". Move the file or change the package name.",Other
java:S1602,CODE_SMELL,MINOR,5min,Remove useless curly braces around statement and then remove useless return keyword (sonar.java.source not set. Assuming 8 or greater.),Other
java:S1604,CODE_SMELL,MAJOR,5min,Make this anonymous inner class a lambda (sonar.java.source not set. Assuming 8 or greater.),Other
java:S1611,CODE_SMELL,MINOR,2min,"Remove the parentheses around the ""builder"" parameter (sonar.java.source not set. Assuming 8 or greater.)",Other
java:S1612,CODE_SMELL,MINOR,2min,Replace this lambda with method reference 'BinaryField.class::isInstance'. (sonar.java.source not set. Assuming 8 or greater.),Other
java:S1643,CODE_SMELL,MINOR,10min,Use a StringBuilder instead.,Other
java:S1656,BUG,MAJOR,3min,Remove or correct this useless self-assignment.,Logic Error
java:S1659,CODE_SMELL,MINOR,2min,"Declare ""a2"" and all following declarations on a separate line.",Other
java:S1700,CODE_SMELL,MAJOR,10min,"Rename field ""bayesianHelper""",Naming Conventions
java:S1751,BUG,MAJOR,5min,"Remove this ""break"" statement or make it conditional.",Logic Error
java:S1845,CODE_SMELL,BLOCKER,10min,"Rename method ""ftl"" to prevent any misunderstanding/clash with field ""FTL"".",Naming Conventions
java:S1854,CODE_SMELL,MAJOR,1min,"Remove this useless assignment to local variable ""ctx"".",Code Hygiene
java:S1858,CODE_SMELL,MINOR,2min,"""filePath"" is already a string, there's no need to call ""toString()"" on it.",Other
java:S1871,CODE_SMELL,MAJOR,10min,This branch's code block is the same as the block for the branch on line 1670.,Logic Error
java:S1874,CODE_SMELL,MINOR,15min,"Remove this use of ""getInode""; it is deprecated.",API Usage
java:S1905,CODE_SMELL,MINOR,5min,"Remove this unnecessary cast to ""Map"".",Other
java:S1948,CODE_SMELL,CRITICAL,30min,"Make non-static ""attributes"" transient or serializable.",Other
java:S2093,CODE_SMELL,CRITICAL,15min,"Change this ""try"" to a try-with-resources. (sonar.java.source not set. Assuming 7 or greater.)",Resource Management
java:S2094,CODE_SMELL,MINOR,5min,"Remove this empty class, write its code or make it an ""interface"".",Empty/Incomplete Code
java:S2095,BUG,BLOCKER,5min,"Use try-with-resources or close this ""BufferedReader"" in a ""finally"" clause.",Resource Management
java:S2097,BUG,MINOR,5min,Add a type test to this method.,Other
java:S2115,VULNERABILITY,BLOCKER,45min,Add password protection to this database.,Security
java:S2119,BUG,CRITICAL,5min,"Save and re-use this ""Random"".",Concurrency
java:S2129,CODE_SMELL,MAJOR,5min,"Remove this ""BigInteger"" constructor",Other
java:S2130,CODE_SMELL,MINOR,5min,"Use ""Long.parseLong"" for this string-to-long conversion.",Other
java:S2140,CODE_SMELL,MINOR,5min,"Use ""java.util.Random.nextInt()"" instead.",Other
java:S2142,BUG,MAJOR,15min,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here.",Error Handling
java:S2147,CODE_SMELL,MINOR,5min,"Combine this catch with the one at line 32, which has the same body. (sonar.java.source not set. Assuming 7 or greater.)",Error Handling
java:S2153,BUG,MINOR,5min,"Remove the boxing to ""Long""; The argument is already of the same type.",Logic Error
java:S2159,BUG,MAJOR,15min,"Remove this call to ""equals""; comparisons against null always return false; consider using '== null' to check for nullity.",Logic Error
java:S2160,CODE_SMELL,MINOR,30min,"Override the ""equals"" method in this class.",Other
java:S2166,CODE_SMELL,MAJOR,5min,"Rename this class to remove ""Exception"" or correct its inheritance.",Other
java:S2168,BUG,BLOCKER,20min,Remove this dangerous instance of double-checked locking.,Concurrency
java:S2178,CODE_SMELL,BLOCKER,5min,"Correct this ""|"" to ""||"".",Logic Error
java:S2184,BUG,MINOR,5min,"Cast one of the operands of this division operation to a ""double"".",Logic Error
java:S2201,BUG,MAJOR,10min,"The return value of ""replace"" must be used.",Logic Error
java:S2209,CODE_SMELL,MAJOR,5min,Change this instance-reference to a static reference.,Other
java:S2234,CODE_SMELL,MAJOR,5min,Parameters to F3 have the same names but not the same order as the method arguments.,Other
java:S2259,BUG,MAJOR,10min,"A ""NullPointerException"" could be thrown; ""is"" is nullable here.",Logic Error
java:S2293,CODE_SMELL,MINOR,1min,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",Other
java:S2326,CODE_SMELL,MAJOR,5min,T is not used in the method.,Type Safety
java:S2386,CODE_SMELL,MINOR,15min,"Make this member ""protected"".",Other
java:S2440,CODE_SMELL,MAJOR,2min,"Remove this instantiation of ""Void"".",Other
java:S2479,CODE_SMELL,CRITICAL,10min,Remove the non-escaped \u0009 character from this literal.,Other
java:S2589,CODE_SMELL,MAJOR,10min,"Remove this expression which always evaluates to ""false""",Logic Error
java:S2676,BUG,MINOR,5min,Use the original value instead.,Other
java:S2681,CODE_SMELL,MAJOR,5min,This line will not be executed conditionally; only the first line of this 2-line block will be. The rest will execute unconditionally.,Logic Error
java:S2692,CODE_SMELL,CRITICAL,2min,"0 is a valid index, but is ignored by this check.",Other
java:S2696,CODE_SMELL,CRITICAL,20min,"Make the enclosing method ""static"" or remove this set.",Concurrency
java:S2786,CODE_SMELL,MINOR,2min,"Remove this redundant ""static"" qualifier; nested enum types are implicitly static.",Other
java:S2789,BUG,MAJOR,15min,"Replace this null literal by an ""Optional"" object.",Other
java:S2864,CODE_SMELL,MAJOR,5min,"Iterate over the ""entrySet"" instead of the ""keySet"".",Other
java:S2885,BUG,MAJOR,15min,"Make ""DATE_FIELD_FORMAT"" an instance variable.",Concurrency
java:S2886,BUG,MAJOR,5min,"Synchronize this method to match the synchronization on ""setDefaultStrategy"".",Concurrency
java:S2975,CODE_SMELL,BLOCKER,30min,"Remove this ""clone"" implementation; use a copy constructor or copy factory instead.",Other
java:S3008,CODE_SMELL,MINOR,2min,"Rename this field ""INSTANCE"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",Naming Conventions
java:S3010,CODE_SMELL,MAJOR,20min,"Remove this assignment of ""sql"".",Other
java:S3011,CODE_SMELL,MAJOR,30min,This accessibility update should be removed.,Other
java:S3014,CODE_SMELL,BLOCKER,45min,"Remove this use of ""ThreadGroup"". Prefer the use of ""ThreadPoolExecutor"".",Concurrency
java:S3038,CODE_SMELL,MINOR,2min,"""clearCache"" is defined in the ""Cachable"" interface and can be removed from this class.",Other
java:S3064,BUG,MAJOR,5min,"Fully initialize ""paramList"" before assigning it.",Concurrency
java:S3077,BUG,MINOR,20min,"Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe.",Concurrency
java:S3078,BUG,MAJOR,15min,"Use an ""AtomicLong"" for this field; its operations are atomic.",Concurrency
java:S3252,CODE_SMELL,CRITICAL,5min,"Use static access with ""java.util.Calendar"" for ""MONDAY"".",Other
java:S3358,CODE_SMELL,MAJOR,5min,Extract this nested ternary operation into an independent statement.,Code Complexity
java:S3398,CODE_SMELL,MINOR,5min,"Move this method into ""DotConcurrentImpl"".",Other
java:S3400,CODE_SMELL,MINOR,5min,Remove this method and declare a constant for this value.,Other
java:S3457,CODE_SMELL,MAJOR,1min,Format specifiers should be used instead of string concatenation.,Other
java:S3599,BUG,MINOR,5min,Use another way to initialize this instance.,Other
java:S3626,CODE_SMELL,MINOR,1min,Remove this redundant jump.,Code Hygiene
java:S3740,CODE_SMELL,MAJOR,5min,Provide the parametrized type for this generic.,Type Safety
java:S3776,CODE_SMELL,CRITICAL,8min,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,Code Complexity
java:S3878,CODE_SMELL,MINOR,2min,"Disambiguate this call by either casting as ""Object"" or ""Object[]"".",Other
java:S3923,BUG,MAJOR,15min,"This conditional operation returns the same value whether the condition is ""true"" or ""false"".",Logic Error
java:S3973,CODE_SMELL,CRITICAL,10min,"Use indentation to denote the code conditionally executed by this ""if"".",Other
java:S4042,CODE_SMELL,MAJOR,10min,"Use ""java.nio.file.Files#delete"" here for better messages on error conditions.",Resource Management
java:S4087,CODE_SMELL,MINOR,2min,"Remove this ""close"" call; closing the resource is handled automatically by the try-with-resources.",Resource Management
java:S4144,CODE_SMELL,MAJOR,15min,"Update this method so that its implementation is not identical to ""send"" on line 464.",Code Complexity
java:S4201,CODE_SMELL,MINOR,5min,"Remove this unnecessary null check; ""instanceof"" returns false for nulls.",Other
java:S4276,CODE_SMELL,MINOR,5min,Refactor this code to use the more specialised Functional Interface 'Predicate<Integer>',Other
java:S4348,BUG,MAJOR,10min,Refactor this code so that the Iterator supports multiple traversal,Other
java:S4719,CODE_SMELL,MINOR,1min,Replace Charset.forName() call with StandardCharsets.UTF_8,Other
java:S4968,CODE_SMELL,MINOR,5min,Replace this type parametrization by the 'final' type `AccessMode`.,Other
