dataset_source,repo_name,blob_commit,blob_relative_path,blob_revision_key,first_observed_time,last_observed_time,observed_roles,error_record_count,affected_commit_pairs,affected_repository_months,error_types,error_messages,treatment_group,is_treatment
control,HelpingAI/Webscout,f56ace5212df9b23e500df0fb2ac113215928933,webscout/Provider/OPENAI/BLACKBOXAI.py,control|HelpingAI/Webscout|f56ace5212df9b23e500df0fb2ac113215928933|webscout/Provider/OPENAI/BLACKBOXAI.py,2025-05,2025-05,parent,1,1,1,IndentationError,"IndentationError: expected an indented block after 'try' statement on line 298 (BLACKBOXAI.py, line 300)",0,0
control,HelpingAI/Webscout,b79f0684fd7af82338e989430d77633e0bc8fa07,webscout/Provider/OPENAI/Qwen3.py,control|HelpingAI/Webscout|b79f0684fd7af82338e989430d77633e0bc8fa07|webscout/Provider/OPENAI/Qwen3.py,2025-05,2025-05,current,1,1,1,SyntaxError,"SyntaxError: expected 'except' or 'finally' block (Qwen3.py, line 70)",0,0
control,HelpingAI/Webscout,f56ace5212df9b23e500df0fb2ac113215928933,webscout/Provider/OPENAI/Qwen3.py,control|HelpingAI/Webscout|f56ace5212df9b23e500df0fb2ac113215928933|webscout/Provider/OPENAI/Qwen3.py,2025-05,2025-05,parent,1,1,1,SyntaxError,"SyntaxError: expected 'except' or 'finally' block (Qwen3.py, line 70)",0,0
control,HelpingAI/Webscout,139c1c230d85b2cd3c20e081eec8f2390f091f86,webscout/Provider/OPENAI/api.py,control|HelpingAI/Webscout|139c1c230d85b2cd3c20e081eec8f2390f091f86|webscout/Provider/OPENAI/api.py,2025-05,2025-05,parent,1,1,1,SyntaxError,"SyntaxError: closing parenthesis '}' does not match opening parenthesis '(' on line 586 (api.py, line 609)",0,0
control,HelpingAI/Webscout,9ce5c6cc89669bc127be88e04c7764e4d1280472,webscout/Provider/OPENAI/api.py,control|HelpingAI/Webscout|9ce5c6cc89669bc127be88e04c7764e4d1280472|webscout/Provider/OPENAI/api.py,2025-05,2025-05,current,1,1,1,SyntaxError,"SyntaxError: closing parenthesis '}' does not match opening parenthesis '(' on line 586 (api.py, line 609)",0,0
control,HelpingAI/Webscout,4bc7871eb8ce0820d71cb76df223c83706719a27,webscout/Provider/OPENAI/exachat.py,control|HelpingAI/Webscout|4bc7871eb8ce0820d71cb76df223c83706719a27|webscout/Provider/OPENAI/exachat.py,2025-05,2025-05,parent,1,1,1,IndentationError,"IndentationError: unexpected indent (exachat.py, line 169)",0,0
control,HelpingAI/Webscout,697308202bdace47f3c7c4e6425d5c2967b84194,webscout/Provider/OPENAI/exachat.py,control|HelpingAI/Webscout|697308202bdace47f3c7c4e6425d5c2967b84194|webscout/Provider/OPENAI/exachat.py,2025-05,2025-05,current,1,1,1,IndentationError,"IndentationError: unexpected indent (exachat.py, line 169)",0,0
control,ITSpecialist111/ai_automation_suggester,b940759773b7d16bae0801e98c5c27b5e4c7e039,custom_components/ai_automation_suggester/config_flow.py,control|ITSpecialist111/ai_automation_suggester|b940759773b7d16bae0801e98c5c27b5e4c7e039|custom_components/ai_automation_suggester/config_flow.py,2024-11,2024-11,current;parent,2,2,1,SyntaxError,"SyntaxError: invalid syntax (config_flow.py, line 259)",0,0
control,ITSpecialist111/ai_automation_suggester,637f02b9a4879ec947a540c40b9163de062b7e1f,custom_components/ai_automation_suggester/const.py,control|ITSpecialist111/ai_automation_suggester|637f02b9a4879ec947a540c40b9163de062b7e1f|custom_components/ai_automation_suggester/const.py,2025-04,2025-04,current;parent,2,2,1,SyntaxError,"SyntaxError: invalid syntax (const.py, line 145)",0,0
control,ITSpecialist111/ai_automation_suggester,637f02b9a4879ec947a540c40b9163de062b7e1f,custom_components/ai_automation_suggester/coordinator.py,control|ITSpecialist111/ai_automation_suggester|637f02b9a4879ec947a540c40b9163de062b7e1f|custom_components/ai_automation_suggester/coordinator.py,2025-04,2025-04,current;parent,2,2,1,SyntaxError,"SyntaxError: invalid syntax (coordinator.py, line 1)",0,0
control,ITSpecialist111/ai_automation_suggester,0dd6fdec7683b2ee33a712a618ed96a2677a6dfc,custom_components/ai_automation_suggester/config_flow.py,control|ITSpecialist111/ai_automation_suggester|0dd6fdec7683b2ee33a712a618ed96a2677a6dfc|custom_components/ai_automation_suggester/config_flow.py,2025-06,2025-06,current;parent,2,2,1,IndentationError,"IndentationError: expected an indented block after 'except' statement on line 129 (config_flow.py, line 135)",0,0
control,MIT-Emerging-Talent/ET6-edXtras,55b95f7e267da534190d5a626032035dba2eaf10,0_isolate_language_features/for_loops/exercises/5_reversicasify.py,control|MIT-Emerging-Talent/ET6-edXtras|55b95f7e267da534190d5a626032035dba2eaf10|0_isolate_language_features/for_loops/exercises/5_reversicasify.py,2025-02,2025-02,current,1,1,1,IndentationError,"IndentationError: expected an indented block after 'for' statement on line 14 (5_reversicasify.py, line 17)",0,0
control,MIT-Emerging-Talent/ET6-edXtras,ae3c1e35770536349214505cccbfba4bc11d895c,1_isolate_language_features/for_loops/exercises/5_reversicasify.py,control|MIT-Emerging-Talent/ET6-edXtras|ae3c1e35770536349214505cccbfba4bc11d895c|1_isolate_language_features/for_loops/exercises/5_reversicasify.py,2025-02,2025-02,current,1,1,1,IndentationError,"IndentationError: expected an indented block after 'for' statement on line 14 (5_reversicasify.py, line 17)",0,0
control,MIT-Emerging-Talent/ET6-edXtras,896b15f630774e0f55a9f9e6369142cb05b1d8d5,01_isolate_language_features/for_loops/exercises/5_reversicasify.py,control|MIT-Emerging-Talent/ET6-edXtras|896b15f630774e0f55a9f9e6369142cb05b1d8d5|01_isolate_language_features/for_loops/exercises/5_reversicasify.py,2025-03,2025-03,current,1,1,1,IndentationError,"IndentationError: expected an indented block after 'for' statement on line 14 (5_reversicasify.py, line 17)",0,0
control,MalevichAI/malevich,d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c,malevich/models/nodes/base.py,control|MalevichAI/malevich|d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c|malevich/models/nodes/base.py,2024-01,2024-01,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (base.py, line 21)",0,0
control,MalevichAI/malevich,d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c,malevich/models/nodes/operation.py,control|MalevichAI/malevich|d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c|malevich/models/nodes/operation.py,2024-01,2024-01,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (operation.py, line 18)",0,0
control,MalevichAI/malevich,18dd753d0adb3cd0b4afa38810213b25bfd9f853,malevich/square/df.py,control|MalevichAI/malevich|18dd753d0adb3cd0b4afa38810213b25bfd9f853|malevich/square/df.py,2024-01,2024-01,parent,1,1,1,IndentationError,"IndentationError: expected an indented block after function definition on line 248 (df.py, line 249)",0,0
control,MalevichAI/malevich,0825be5ec488974546529f89ae458c9c7949e720,tests/flows/test_utility_flow.py,control|MalevichAI/malevich|0825be5ec488974546529f89ae458c9c7949e720|tests/flows/test_utility_flow.py,2024-01,2024-01,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (test_utility_flow.py, line 3)",0,0
control,MalevichAI/malevich,d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c,tests/flows/test_utility_flow.py,control|MalevichAI/malevich|d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c|tests/flows/test_utility_flow.py,2024-01,2024-01,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (test_utility_flow.py, line 3)",0,0
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_cli/install.py,control|MalevichAI/malevich|34467e97f6867a7e8811f64a6e92cd0239c9cf69|malevich/_cli/install.py,2024-03,2024-03,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (install.py, line 9)",0,0
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_cli/remove.py,control|MalevichAI/malevich|34467e97f6867a7e8811f64a6e92cd0239c9cf69|malevich/_cli/remove.py,2024-03,2024-03,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (remove.py, line 9)",0,0
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_cli/restore.py,control|MalevichAI/malevich|34467e97f6867a7e8811f64a6e92cd0239c9cf69|malevich/_cli/restore.py,2024-03,2024-03,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (restore.py, line 6)",0,0
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_cli/space/login.py,control|MalevichAI/malevich|34467e97f6867a7e8811f64a6e92cd0239c9cf69|malevich/_cli/space/login.py,2024-03,2024-03,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (login.py, line 2)",0,0
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_utility/package.py,control|MalevichAI/malevich|34467e97f6867a7e8811f64a6e92cd0239c9cf69|malevich/_utility/package.py,2024-03,2024-03,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (package.py, line 58)",0,0
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/interpreter/core.py,control|MalevichAI/malevich|34467e97f6867a7e8811f64a6e92cd0239c9cf69|malevich/interpreter/core.py,2024-03,2024-03,parent,1,1,1,SyntaxError,"SyntaxError: unterminated triple-quoted string literal (detected at line 928) (core.py, line 528)",0,0
control,MalevichAI/malevich,52acef5e94713d7bbb552b5dcd0cd794f056c529,malevich/interpreter/space.py,control|MalevichAI/malevich|52acef5e94713d7bbb552b5dcd0cd794f056c529|malevich/interpreter/space.py,2024-03,2024-03,parent,1,1,1,SyntaxError,"SyntaxError: unterminated triple-quoted string literal (detected at line 870) (space.py, line 807)",0,0
control,MalevichAI/malevich,51c6f5834a63acb1b31b358267c912b7db35d3f6,malevich/_cli/use.py,control|MalevichAI/malevich|51c6f5834a63acb1b31b358267c912b7db35d3f6|malevich/_cli/use.py,2024-06,2024-06,current;parent,2,2,1,SyntaxError,"SyntaxError: expected argument value expression (use.py, line 192)",0,0
control,adelatour11/androidtvbackground,190d4833297874c7cf86d45651fffe3928d14991,TMDB.py,control|adelatour11/androidtvbackground|190d4833297874c7cf86d45651fffe3928d14991|TMDB.py,2025-07,2025-07,current,1,1,1,SyntaxError,"SyntaxError: unterminated string literal (detected at line 16) (190d4833297874c7cf86d45651fffe3928d14991:TMDB.py, line 16)",0,0
control,adelatour11/androidtvbackground,5bc0c77af7c71d33211e750a1bb6d7acf6dfab9f,TMDB.py,control|adelatour11/androidtvbackground|5bc0c77af7c71d33211e750a1bb6d7acf6dfab9f|TMDB.py,2025-07,2025-07,current,1,1,1,SyntaxError,"SyntaxError: unterminated string literal (detected at line 16) (5bc0c77af7c71d33211e750a1bb6d7acf6dfab9f:TMDB.py, line 16)",0,0
control,adelatour11/androidtvbackground,e77df2da2178db574afa72206a4ca73e2d33a9f2,TMDB.py,control|adelatour11/androidtvbackground|e77df2da2178db574afa72206a4ca73e2d33a9f2|TMDB.py,2025-07,2025-07,current,1,1,1,SyntaxError,"SyntaxError: unterminated string literal (detected at line 16) (e77df2da2178db574afa72206a4ca73e2d33a9f2:TMDB.py, line 16)",0,0
control,adelatour11/androidtvbackground,4d2dd2139cb7a32df68d24494631373a4b5b1807,TMDB.py,control|adelatour11/androidtvbackground|4d2dd2139cb7a32df68d24494631373a4b5b1807|TMDB.py,2025-08,2025-08,parent,1,1,1,SyntaxError,"SyntaxError: unterminated string literal (detected at line 16) (4d2dd2139cb7a32df68d24494631373a4b5b1807:TMDB.py, line 16)",0,0
control,aj47/100x-orchestrator,28edb252a8c4d60e2b8c7b88d95b0a805203c0c2,orchestrator.py,control|aj47/100x-orchestrator|28edb252a8c4d60e2b8c7b88d95b0a805203c0c2|orchestrator.py,2024-12,2024-12,current;parent,2,2,1,IndentationError,"IndentationError: unexpected indent (28edb252a8c4d60e2b8c7b88d95b0a805203c0c2:orchestrator.py, line 470)",0,0
control,aj47/100x-orchestrator,6614727b3e7b5efe199e76ea0f0983ccc7b29f87,orchestrator.py,control|aj47/100x-orchestrator|6614727b3e7b5efe199e76ea0f0983ccc7b29f87|orchestrator.py,2024-12,2024-12,current;parent,2,2,1,SyntaxError,"SyntaxError: expected 'except' or 'finally' block (6614727b3e7b5efe199e76ea0f0983ccc7b29f87:orchestrator.py, line 432)",0,0
control,aj47/100x-orchestrator,85c198752d2070af0f0f60eafbbfd4a86b33ccd4,orchestrator.py,control|aj47/100x-orchestrator|85c198752d2070af0f0f60eafbbfd4a86b33ccd4|orchestrator.py,2024-12,2024-12,current,1,1,1,IndentationError,"IndentationError: unexpected indent (85c198752d2070af0f0f60eafbbfd4a86b33ccd4:orchestrator.py, line 471)",0,0
control,aj47/100x-orchestrator,b2b56dedb4f5d77b3d4c989ce8add1677a9e2fc5,orchestrator.py,control|aj47/100x-orchestrator|b2b56dedb4f5d77b3d4c989ce8add1677a9e2fc5|orchestrator.py,2024-12,2024-12,current,1,1,1,IndentationError,"IndentationError: unexpected indent (b2b56dedb4f5d77b3d4c989ce8add1677a9e2fc5:orchestrator.py, line 470)",0,0
control,aj47/100x-orchestrator,c4aa7d57317489220e1ef59dfed130aeb31da567,orchestrator.py,control|aj47/100x-orchestrator|c4aa7d57317489220e1ef59dfed130aeb31da567|orchestrator.py,2024-12,2024-12,current,1,1,1,IndentationError,"IndentationError: unexpected indent (c4aa7d57317489220e1ef59dfed130aeb31da567:orchestrator.py, line 471)",0,0
control,aj47/100x-orchestrator,f0cda26642bc69c6cb79776350abcb1f5fc31c2a,orchestrator.py,control|aj47/100x-orchestrator|f0cda26642bc69c6cb79776350abcb1f5fc31c2a|orchestrator.py,2024-12,2024-12,current,1,1,1,SyntaxError,"SyntaxError: expected 'except' or 'finally' block (f0cda26642bc69c6cb79776350abcb1f5fc31c2a:orchestrator.py, line 430)",0,0
control,aj47/100x-orchestrator,6bfc5d833a563565e81989c6269f910bef135b52,prompt_processor.py,control|aj47/100x-orchestrator|6bfc5d833a563565e81989c6269f910bef135b52|prompt_processor.py,2024-12,2024-12,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (6bfc5d833a563565e81989c6269f910bef135b52:prompt_processor.py, line 78)",0,0
control,aj47/100x-orchestrator,bc56add9fed38dad930e7590dc0ee0ec6eebca98,prompt_processor.py,control|aj47/100x-orchestrator|bc56add9fed38dad930e7590dc0ee0ec6eebca98|prompt_processor.py,2024-12,2024-12,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (bc56add9fed38dad930e7590dc0ee0ec6eebca98:prompt_processor.py, line 78)",0,0
control,believethehype/nostrdvm,32537623e9627be3534925ca58473091fa5dd08a,nostr_dvm/dvm.py,control|believethehype/nostrdvm|32537623e9627be3534925ca58473091fa5dd08a|nostr_dvm/dvm.py,2024-01,2024-01,current,1,1,1,SyntaxError,"SyntaxError: invalid non-printable character U+2028 (dvm.py, line 422)",0,0
control,believethehype/nostrdvm,a07070439e231e4a024414bfeb950863992606e8,nostr_dvm/dvm.py,control|believethehype/nostrdvm|a07070439e231e4a024414bfeb950863992606e8|nostr_dvm/dvm.py,2024-01,2024-01,parent,1,1,1,SyntaxError,"SyntaxError: invalid non-printable character U+2028 (dvm.py, line 422)",0,0
control,believethehype/nostrdvm,2dbff7989fae756c4b235cf4632fd39dc74147b3,nostr_dvm/subscription.py,control|believethehype/nostrdvm|2dbff7989fae756c4b235cf4632fd39dc74147b3|nostr_dvm/subscription.py,2024-04,2024-04,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (subscription.py, line 315)",0,0
control,believethehype/nostrdvm,fec2efd48b26f873e8cb306a84031ac7186a5084,nostr_dvm/subscription.py,control|believethehype/nostrdvm|fec2efd48b26f873e8cb306a84031ac7186a5084|nostr_dvm/subscription.py,2024-04,2024-04,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (subscription.py, line 315)",0,0
control,believethehype/nostrdvm,32664f8f9b746d66caf6740c17a1da60df6c67f4,nostr_dvm/bot.py,control|believethehype/nostrdvm|32664f8f9b746d66caf6740c17a1da60df6c67f4|nostr_dvm/bot.py,2024-06,2024-06,current;parent,2,2,1,SyntaxError,"SyntaxError: invalid syntax (bot.py, line 98)",0,0
control,believethehype/nostrdvm,a286f4946e57466b6f8c324d399a0dba8000f748,nostr_dvm/utils/nostr_utils.py,control|believethehype/nostrdvm|a286f4946e57466b6f8c324d399a0dba8000f748|nostr_dvm/utils/nostr_utils.py,2024-06,2024-06,current;parent,2,2,1,SyntaxError,"SyntaxError: '(' was never closed (nostr_utils.py, line 45)",0,0
control,believethehype/nostrdvm,96e9a673304a7021deaa165e56dba43a38db5ad7,tests/gif_library_manual.py,control|believethehype/nostrdvm|96e9a673304a7021deaa165e56dba43a38db5ad7|tests/gif_library_manual.py,2025-01,2025-01,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (gif_library_manual.py, line 1)",0,0
control,daxa-ai/pebblo,29c86ac4572c4273a469369f4d7fbe69deded64c,analyzer/setup.py,control|daxa-ai/pebblo|29c86ac4572c4273a469369f4d7fbe69deded64c|analyzer/setup.py,2024-01,2024-01,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax. Perhaps you forgot a comma? (setup.py, line 7)",0,0
control,daxa-ai/pebblo,f65d477bbf7b15242f5eb2baf04de9373922bd37,analyzer/setup.py,control|daxa-ai/pebblo|f65d477bbf7b15242f5eb2baf04de9373922bd37|analyzer/setup.py,2024-01,2024-01,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax. Perhaps you forgot a comma? (setup.py, line 7)",0,0
control,golemfoundation/octant,06df3390b595bc4cdd43e6841a22f0887d440fa5,backend/app/modules/modules_factory/current.py,control|golemfoundation/octant|06df3390b595bc4cdd43e6841a22f0887d440fa5|backend/app/modules/modules_factory/current.py,2024-04,2024-04,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (current.py, line 41)",0,0
control,golemfoundation/octant,20d6d6133839289e4d5cbbde70b6ec4db6008196,backend/app/modules/modules_factory/current.py,control|golemfoundation/octant|20d6d6133839289e4d5cbbde70b6ec4db6008196|backend/app/modules/modules_factory/current.py,2024-06,2024-06,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (current.py, line 20)",0,0
control,golemfoundation/octant,20d6d6133839289e4d5cbbde70b6ec4db6008196,backend/app/modules/modules_factory/pending.py,control|golemfoundation/octant|20d6d6133839289e4d5cbbde70b6ec4db6008196|backend/app/modules/modules_factory/pending.py,2024-06,2024-06,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (pending.py, line 115)",0,0
control,golemfoundation/octant,20d6d6133839289e4d5cbbde70b6ec4db6008196,backend/app/modules/octant_rewards/matched/pending.py,control|golemfoundation/octant|20d6d6133839289e4d5cbbde70b6ec4db6008196|backend/app/modules/octant_rewards/matched/pending.py,2024-06,2024-06,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (pending.py, line 19)",0,0
control,golemfoundation/octant,20d6d6133839289e4d5cbbde70b6ec4db6008196,backend/tests/modules/modules_factory/test_modules_factory.py,control|golemfoundation/octant|20d6d6133839289e4d5cbbde70b6ec4db6008196|backend/tests/modules/modules_factory/test_modules_factory.py,2024-06,2024-06,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (test_modules_factory.py, line 160)",0,0
control,golemfoundation/octant,20d6d6133839289e4d5cbbde70b6ec4db6008196,backend/tests/modules/octant_rewards/test_pending_octant_rewards.py,control|golemfoundation/octant|20d6d6133839289e4d5cbbde70b6ec4db6008196|backend/tests/modules/octant_rewards/test_pending_octant_rewards.py,2024-06,2024-06,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (test_pending_octant_rewards.py, line 103)",0,0
control,golemfoundation/octant,7d5437df24bc0592101f152e09940d9921ff908f,backend/tests/v2/allocations/test_get_allocations_for_epoch.py,control|golemfoundation/octant|7d5437df24bc0592101f152e09940d9921ff908f|backend/tests/v2/allocations/test_get_allocations_for_epoch.py,2024-12,2024-12,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (test_get_allocations_for_epoch.py, line 2)",0,0
control,golemfoundation/octant,7d5437df24bc0592101f152e09940d9921ff908f,backend/tests/v2/allocations/test_get_donors_for_epoch.py,control|golemfoundation/octant|7d5437df24bc0592101f152e09940d9921ff908f|backend/tests/v2/allocations/test_get_donors_for_epoch.py,2024-12,2024-12,parent,1,1,1,SyntaxError,"SyntaxError: unmatched ')' (test_get_donors_for_epoch.py, line 62)",0,0
control,golemfoundation/octant,7d5437df24bc0592101f152e09940d9921ff908f,backend/tests/v2/allocations/test_get_project_allocations_for_epoch.py,control|golemfoundation/octant|7d5437df24bc0592101f152e09940d9921ff908f|backend/tests/v2/allocations/test_get_project_allocations_for_epoch.py,2024-12,2024-12,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (test_get_project_allocations_for_epoch.py, line 2)",0,0
control,golemfoundation/octant,7d5437df24bc0592101f152e09940d9921ff908f,backend/tests/v2/allocations/test_get_user_allocations_for_epoch.py,control|golemfoundation/octant|7d5437df24bc0592101f152e09940d9921ff908f|backend/tests/v2/allocations/test_get_user_allocations_for_epoch.py,2024-12,2024-12,parent,1,1,1,SyntaxError,"SyntaxError: unmatched ')' (test_get_user_allocations_for_epoch.py, line 29)",0,0
control,golemfoundation/octant,7d5437df24bc0592101f152e09940d9921ff908f,backend/tests/v2/allocations/test_get_user_next_allocation_nonce.py,control|golemfoundation/octant|7d5437df24bc0592101f152e09940d9921ff908f|backend/tests/v2/allocations/test_get_user_next_allocation_nonce.py,2024-12,2024-12,parent,1,1,1,SyntaxError,"SyntaxError: unmatched ')' (test_get_user_next_allocation_nonce.py, line 29)",0,0
control,golemfoundation/octant,7d5437df24bc0592101f152e09940d9921ff908f,backend/tests/v2/conftest.py,control|golemfoundation/octant|7d5437df24bc0592101f152e09940d9921ff908f|backend/tests/v2/conftest.py,2024-12,2024-12,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (conftest.py, line 7)",0,0
